POP_ID,POP_name,POP_URL
241115A_005,花粉ケア,https://tech0-swat.github.io/z-company/pop-images/241115A_005.png
241115A_008,DISNEY,https://tech0-swat.github.io/z-company/pop-images/241115A_008.png
241115A_011,UNITED ARROWS,https://tech0-swat.github.io/z-company/pop-images/241115A_011.png
241129A_017,Sanrio characters,https://tech0-swat.github.io/z-company/pop-images/241129A_017.png
241229A_001,冬セール_SALE,https://tech0-swat.github.io/z-company/pop-images/241229A_001.png
250425C_001,SMART WOMEN_900万本,https://tech0-swat.github.io/z-company/pop-images/250425C_001.png
250425C_003,SMART MEN_900万本,https://tech0-swat.github.io/z-company/pop-images/250425C_003.png
250425C_006,SMART WOMEN_900万本,https://tech0-swat.github.io/z-company/pop-images/250425C_006.png
250425C_008,SMART MEN_900万本,https://tech0-swat.github.io/z-company/pop-images/250425C_008.png
250704A_003,SUNCUT Glasses,https://tech0-swat.github.io/z-company/pop-images/250704A_003.png
250704C_001,Technologyパネル,https://tech0-swat.github.io/z-company/pop-images/250704C_001.png
250808A_001,Takashi Kumagai,https://tech0-swat.github.io/z-company/pop-images/250808A_001.png
250808A_003,Takashi Kumagai,https://tech0-swat.github.io/z-company/pop-images/250808A_003.png
250822A_001,MARVEL,https://tech0-swat.github.io/z-company/pop-images/250822A_001.png
250829A_001,UA25,https://tech0-swat.github.io/z-company/pop-images/250829A_001.png
250829A_003,UA25,https://tech0-swat.github.io/z-company/pop-images/250829A_003.png
250905B_001,WOMEN TREND,https://tech0-swat.github.io/z-company/pop-images/250905B_001.png
250905B_003,WOMEN STANDARD,https://tech0-swat.github.io/z-company/pop-images/250905B_003.png
250905B_005,MEN TREND,https://tech0-swat.github.io/z-company/pop-images/250905B_005.png
250905B_007,MEN STANDARD,https://tech0-swat.github.io/z-company/pop-images/250905B_007.png
250905C_001,ウルトラ秋,https://tech0-swat.github.io/z-company/pop-images/250905C_001.png
250905C_007008009,ウルトラ秋 特大パネル,https://tech0-swat.github.io/z-company/pop-images/250905C_007008009.png
250918D_001,QOL,https://tech0-swat.github.io/z-company/pop-images/250918D_001.png
250921B_001,秋のGOGO 2025/10/23まで,https://tech0-swat.github.io/z-company/pop-images/250921B_001.png
251003A_001,水越みさと,https://tech0-swat.github.io/z-company/pop-images/251003A_001.png
251003A_003,水越みさと,https://tech0-swat.github.io/z-company/pop-images/251003A_003.png
251003B_002,mofusand,https://tech0-swat.github.io/z-company/pop-images/251003B_002.png
25711A_004,はぴだんぶい,https://tech0-swat.github.io/z-company/pop-images/25711A_004.png
JPQ221101,BLACK FRIDAY,https://tech0-swat.github.io/z-company/pop-images/JPQ221101.png
JPQ221228,冬SALE,https://tech0-swat.github.io/z-company/pop-images/JPQ221228.png
JPQ221261,冬SALE_SPECIAL PRICE,https://tech0-swat.github.io/z-company/pop-images/JPQ221261.png
JPQ221290,冬SALE_SPECIAL PRICE_店舗限定,https://tech0-swat.github.io/z-company/pop-images/JPQ221290.png
JPV230701,MEN,https://tech0-swat.github.io/z-company/pop-images/JPV230701.png
JPV230704,WOMEN,https://tech0-swat.github.io/z-company/pop-images/JPV230704.png
JPV230707,SUNGLASSES,https://tech0-swat.github.io/z-company/pop-images/JPV230707.png
JPV230713,RANKING,https://tech0-swat.github.io/z-company/pop-images/JPV230713.png
JPV230716,SMART,https://tech0-swat.github.io/z-company/pop-images/JPV230716.png
JPV230719,PACKAGE,https://tech0-swat.github.io/z-company/pop-images/JPV230719.png
JPV230722,SPORTS,https://tech0-swat.github.io/z-company/pop-images/JPV230722.png
JPV230737,KIDS＆JUNIOR,https://tech0-swat.github.io/z-company/pop-images/JPV230737.png
