report_week,is_day_of_week,VMDweek,shop_unit_type,POP_place_no,POP_ID,POP_name
202541,0,202540,標準,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,0,202540,標準,P02,251003A_001,水越みさと
202541,0,202540,標準,P03,250425C_001,SMART WOMEN_900万本
202541,0,202540,標準,P04,250425C_003,SMART MEN_900万本
202541,0,202540,標準,P05,,
202541,0,202540,標準,P06,251003B_002,mofusand
202541,0,202540,標準,P07,,
202541,0,202540,標準,P08,,
202541,0,202540,標準,P09,250822A_001,MARVEL
202541,0,202540,標準,P10,,
202541,0,202540,標準,P11,,
202541,0,202540,標準,P12,250704C_001,Technologyパネル
202541,0,202540,標準,P13,,
202541,0,202540,標準,P14,,
202541,0,202540,標準,P15,250918D_001,QOL
202541,0,202540,標準,P16,250905B_007,MEN STANDARD
202541,0,202540,標準,P17,JPQ221228,冬SALE
202541,0,202540,標準,P18,250704A_003,SUNCUT Glasses
202541,0,202540,標準,P19,JPV230713,RANKING
202541,0,202540,標準,P20,241115A_008,DISNEY
202541,0,202540,標準,P21,241115A_011,UNITED ARROWS
202541,0,202540,標準,P22,JPV230737,KIDS＆JUNIOR
202541,0,202540,大型,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,0,202540,大型,P02,251003A_001,水越みさと
202541,0,202540,大型,P03,250425C_001,SMART WOMEN_900万本
202541,0,202540,大型,P04,250425C_003,SMART MEN_900万本
202541,0,202540,大型,P05,,
202541,0,202540,大型,P06,251003B_002,mofusand
202541,0,202540,大型,P07,,
202541,0,202540,大型,P08,,
202541,0,202540,大型,P09,250822A_001,MARVEL
202541,0,202540,大型,P10,,
202541,0,202540,大型,P11,,
202541,0,202540,大型,P12,250704C_001,Technologyパネル
202541,0,202540,大型,P13,,
202541,0,202540,大型,P14,,
202541,0,202540,大型,P15,250918D_001,QOL
202541,0,202540,大型,P16,250905B_007,MEN STANDARD
202541,0,202540,大型,P17,JPQ221228,冬SALE
202541,0,202540,大型,P18,250704A_003,SUNCUT Glasses
202541,0,202540,大型,P19,JPV230713,RANKING
202541,0,202540,大型,P20,241115A_008,DISNEY
202541,0,202540,大型,P21,241115A_011,UNITED ARROWS
202541,0,202540,大型,P22,JPV230737,KIDS＆JUNIOR
202541,0,202540,大型,P23,JPV230701,MEN
202541,0,202540,大型,P24,,
202541,0,202540,小型,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,0,202540,小型,P02,251003A_001,水越みさと
202541,0,202540,小型,P03,250425C_001,SMART WOMEN_900万本
202541,0,202540,小型,P04,250425C_003,SMART MEN_900万本
202541,0,202540,小型,P05,,
202541,0,202540,小型,P06,251003B_002,mofusand
202541,0,202540,小型,P07,,
202541,0,202540,小型,P08,,
202541,0,202540,小型,P09,250822A_001,MARVEL
202541,0,202540,小型,P10,,
202541,0,202540,小型,P11,,
202541,0,202540,小型,P12,250704C_001,Technologyパネル
202541,0,202540,小型,P13,,
202541,0,202540,小型,P14,,
202541,0,202540,小型,P15,250918D_001,QOL
202541,0,202540,小型,P16,250905B_007,MEN STANDARD
202541,0,202540,小型,P17,JPQ221228,冬SALE
202541,0,202540,小型,P18,250704A_003,SUNCUT Glasses
202541,0,202540,小型,P19,241115A_008,DISNEY
202541,0,202540,極小,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,0,202540,極小,P02,251003A_001,水越みさと
202541,0,202540,極小,P03,250425C_001,SMART WOMEN_900万本
202541,0,202540,極小,P04,250425C_003,SMART MEN_900万本
202541,0,202540,極小,P05,,
202541,0,202540,極小,P06,250704C_001,Technologyパネル
202541,0,202540,極小,P07,,
202541,0,202540,極小,P08,,
202541,0,202540,極小,P09,251003B_002,mofusand
202541,0,202540,極小,P10,,
202541,0,202540,極小,P17,JPQ221228,冬SALE
202541,0,202540,極小,P18,250704A_003,SUNCUT Glasses
202541,0,202540,極小,P19,241115A_008,DISNEY
202541,1,202541,標準,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,1,202541,標準,P02,250425C_001,SMART WOMEN_900万本
202541,1,202541,標準,P03,251003A_001,水越みさと
202541,1,202541,標準,P04,250425C_003,SMART MEN_900万本
202541,1,202541,標準,P05,,
202541,1,202541,標準,P06,251003B_002,mofusand
202541,1,202541,標準,P07,,
202541,1,202541,標準,P08,,
202541,1,202541,標準,P09,250822A_001,MARVEL
202541,1,202541,標準,P10,,
202541,1,202541,標準,P11,,
202541,1,202541,標準,P12,250704C_001,Technologyパネル
202541,1,202541,標準,P13,,
202541,1,202541,標準,P14,,
202541,1,202541,標準,P15,250918D_001,QOL
202541,1,202541,標準,P16,250905B_007,MEN STANDARD
202541,1,202541,標準,P17,JPQ221228,冬SALE
202541,1,202541,標準,P18,250704A_003,SUNCUT Glasses
202541,1,202541,標準,P19,JPV230713,RANKING
202541,1,202541,標準,P20,241115A_008,DISNEY
202541,1,202541,標準,P21,241115A_011,UNITED ARROWS
202541,1,202541,標準,P22,JPV230737,KIDS＆JUNIOR
202541,1,202541,大型,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,1,202541,大型,P02,250425C_001,SMART WOMEN_900万本
202541,1,202541,大型,P03,251003A_001,水越みさと
202541,1,202541,大型,P04,250425C_003,SMART MEN_900万本
202541,1,202541,大型,P05,,
202541,1,202541,大型,P06,251003B_002,mofusand
202541,1,202541,大型,P07,,
202541,1,202541,大型,P08,,
202541,1,202541,大型,P09,250822A_001,MARVEL
202541,1,202541,大型,P10,,
202541,1,202541,大型,P11,,
202541,1,202541,大型,P12,250704C_001,Technologyパネル
202541,1,202541,大型,P13,,
202541,1,202541,大型,P14,,
202541,1,202541,大型,P15,250918D_001,QOL
202541,1,202541,大型,P16,250905B_007,MEN STANDARD
202541,1,202541,大型,P17,JPQ221228,冬SALE
202541,1,202541,大型,P18,250704A_003,SUNCUT Glasses
202541,1,202541,大型,P19,JPV230713,RANKING
202541,1,202541,大型,P20,241115A_008,DISNEY
202541,1,202541,大型,P21,241115A_011,UNITED ARROWS
202541,1,202541,大型,P22,JPV230737,KIDS＆JUNIOR
202541,1,202541,大型,P23,JPV230701,MEN
202541,1,202541,大型,P24,,
202541,1,202541,小型,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,1,202541,小型,P02,250425C_001,SMART WOMEN_900万本
202541,1,202541,小型,P03,251003A_001,水越みさと
202541,1,202541,小型,P04,250425C_003,SMART MEN_900万本
202541,1,202541,小型,P05,,
202541,1,202541,小型,P06,251003B_002,mofusand
202541,1,202541,小型,P07,,
202541,1,202541,小型,P08,,
202541,1,202541,小型,P09,250822A_001,MARVEL
202541,1,202541,小型,P10,,
202541,1,202541,小型,P11,,
202541,1,202541,小型,P12,250704C_001,Technologyパネル
202541,1,202541,小型,P13,,
202541,1,202541,小型,P14,,
202541,1,202541,小型,P15,250918D_001,QOL
202541,1,202541,小型,P16,250905B_007,MEN STANDARD
202541,1,202541,小型,P17,JPQ221228,冬SALE
202541,1,202541,小型,P18,250704A_003,SUNCUT Glasses
202541,1,202541,小型,P19,241115A_008,DISNEY
202541,1,202541,極小,P01,250921B_001,秋のGOGO 2025/10/23まで
202541,1,202541,極小,P02,250425C_001,SMART WOMEN_900万本
202541,1,202541,極小,P03,251003A_001,水越みさと
202541,1,202541,極小,P04,250425C_003,SMART MEN_900万本
202541,1,202541,極小,P05,,
202541,1,202541,極小,P06,250704C_001,Technologyパネル
202541,1,202541,極小,P07,,
202541,1,202541,極小,P08,,
202541,1,202541,極小,P09,251003B_002,mofusand
202541,1,202541,極小,P10,,
202541,1,202541,極小,P17,JPQ221228,冬SALE
202541,1,202541,極小,P18,250704A_003,SUNCUT Glasses
202541,1,202541,極小,P19,241115A_008,DISNEY
202542,0,202541,標準,P01,250921B_001,秋のGOGO 2025/10/23まで
202542,0,202541,標準,P02,251003A_001,水越みさと
202542,0,202541,標準,P03,250425C_001,SMART WOMEN_900万本
202542,0,202541,標準,P04,250425C_003,SMART MEN_900万本
202542,0,202541,標準,P05,,
202542,0,202541,標準,P06,251003B_002,mofusand
202542,0,202541,標準,P07,,
202542,0,202541,標準,P08,,
202542,0,202541,標準,P09,250822A_001,MARVEL
202542,0,202541,標準,P10,,
202542,0,202541,標準,P11,,
202542,0,202541,標準,P12,250704C_001,Technologyパネル
202542,0,202541,標準,P13,,
202542,0,202541,標準,P14,,
202542,0,202541,標準,P15,250918D_001,QOL
202542,0,202541,標準,P16,250905B_007,MEN STANDARD
202542,0,202541,標準,P17,JPQ221228,冬SALE
202542,0,202541,標準,P18,250704A_003,SUNCUT Glasses
202542,0,202541,標準,P19,JPV230713,RANKING
202542,0,202541,標準,P20,241115A_008,DISNEY
202542,0,202541,標準,P21,241115A_011,UNITED ARROWS
202542,0,202541,標準,P22,JPV230737,KIDS＆JUNIOR
202542,0,202541,大型,P01,250921B_001,秋のGOGO 2025/10/23まで
202542,0,202541,大型,P02,251003A_001,水越みさと
